CT_id	Drugbank_id	DG_id	Drug name	CT Title	Status	Phase	Source		Term import ID	COVoc ID	Preferred label	Definition	Trial drug involved	Synonym	Narrow synonym	Broad synonym	Related synonym	x-refs	Comment
									ID	A cov:internal_covoc_id	A cov:preferred_covoc_label	A IAO:0000115	C 'has_input' some %  SPLIT=||	A oboInOwl:hasExactSynonym SPLIT=||	A oboInOwl:hasNarrowSynonym SPLIT=||	A oboInOwl:hasBroadSynonym SPLIT=||	A oboInOwl:hasRelatedSynonym SPLIT=||	A oboInOwl:hasDbXref SPLIT=||	A rdfs:comment
NCT04273321	DB00959		Methylprednisolone	Efficacy and Safety of Corticosteroids in COVID-19	Recruiting	Not available	https://clinicaltrials.gov/ct2/show/NCT04273321		COVOC:0040001	NCT:04273321	NCT04273321 clinical trial	Efficacy and Safety of Corticosteroids in COVID-19	COVOC:0030021					DB:00959	
NCT04287686	DB11842		Angiotensin II	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	Withdrawn	Not available	https://clinicaltrials.gov/ct2/show/NCT04287686		COVOC:0040002	NCT:04287686	NCT04287686 clinical trial	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	CHEBI:48432					DB:11842	
NCT04288713	DB01257		Eculizumab	Eculizumab (Soliris) in Covid-19 Infected Patients	Available	Not available	https://clinicaltrials.gov/ct2/show/NCT04288713		COVOC:0040003	NCT:04288713	NCT04288713 clinical trial	Eculizumab (Soliris) in Covid-19 Infected Patients	COVOC:0030014					DB:01257	
NCT04292730	DB14761		Remdesivir	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment	Recruiting	3	https://clinicaltrials.gov/ct2/show/NCT04292730		COVOC:0040004	NCT:04292730	NCT04292730 clinical trial	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment	CHEBI:145994					DB:14761	
NCT04292899	DB14761		Remdesivir	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)	Recruiting	3	https://clinicaltrials.gov/ct2/show/NCT04292899		COVOC:0040005	NCT:04292899	NCT04292899 clinical trial	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)	CHEBI:145994					DB:14761	
NCT04295551	DB01601		Lopinavir	Multicenter Clinical Study on the Efficacy and Safety of Xiyanping Injection in the Treatment of New Coronavirus Infection Pneumonia (General and Severe)	Not yet recruiting	Not available	https://clinicaltrials.gov/ct2/show/NCT04295551		COVOC:0040006	NCT:04295551	NCT04295551 clinical trial	Multicenter Clinical Study on the Efficacy and Safety of Xiyanping Injection in the Treatment of New Coronavirus Infection Pneumonia (General and Severe)	CHEBI:31781||CHEBI:45409					DB:01601	
NCT04295551	DB00503		Ritonavir	Multicenter Clinical Study on the Efficacy and Safety of Xiyanping Injection in the Treatment of New Coronavirus Infection Pneumonia (General and Severe)	Not yet recruiting	Not available	https://clinicaltrials.gov/ct2/show/NCT04295551		COVOC:0040007	NCT:04304313	NCT04304313 clinical trial	A Pilot Study of Sildenafil in COVID-19	CHEBI:9139					DB:00203	
NCT04304313	DB00203		Sildenafil	A Pilot Study of Sildenafil in COVID-19	Recruiting	3	https://clinicaltrials.gov/ct2/show/NCT04304313		COVOC:0040008	NCT:04306705	NCT04306705 clinical trial	Tocilizumab vs CRRT in Management of Cytokine Release Syndrome (CRS) in COVID-19	COVOC:0030029					DB:06273	
NCT04306705	DB06273		Tocilizumab	Tocilizumab vs CRRT in Management of Cytokine Release Syndrome (CRS) in COVID-19	Recruiting	Not available	https://clinicaltrials.gov/ct2/show/NCT04306705		COVOC:0040009	NCT:04307693	NCT04307693 clinical trial	Comparison of Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19)	CHEBI:5801					DB:01611	
NCT04307693	DB01611		Hydroxychloroquine	Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19)	Recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04307693		COVOC:0040010	NCT:04307694	NCT04307694 clinical trial	Comparison of Lopinavir/Ritonavir in Patients With Mild Coronavirus Disease (COVID-19)	CHEBI:31781||CHEBI:45409					DB:01601||DB:00503	
NCT04307694	DB01601/DB00503		Lopinavir/Ritonavir	Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19)	Recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04307693		COVOC:0040011	NCT:04310228	NCT04310228 clinical trial	Favipiravir Combined With Tocilizumab in the Treatment of Corona Virus Disease 2019	CHEBI:134722||COVOC:0030029					DB:12466	
NCT04310228	DB12466		Favipiravir	Favipiravir Combined With Tocilizumab in the Treatment of Corona Virus Disease 2019	Recruiting	Not available	https://clinicaltrials.gov/ct2/show/NCT04310228		COVOC:0040012	NCT:04315298	NCT04315298 clinical trial	Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19	COVOC:0030027					DB:11767	
NCT04310228	DB06273		Tocilizumab	Favipiravir Combined With Tocilizumab in the Treatment of Corona Virus Disease 2019	Recruiting	Not available	https://clinicaltrials.gov/ct2/show/NCT04310228		COVOC:0040013	NCT:04315896	NCT04315896 clinical trial	Hydroxychloroquine Treatment for Severe COVID-19 Pulmonary Infection (HYDRA Trial)	CHEBI:5801					DB:01611	
NCT04315298	DB11767		Sarilumab	Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19	Recruiting	2/3	https://clinicaltrials.gov/ct2/show/NCT04315298		COVOC:0040014	NCT:04291053	NCT04291053 clinical trial	The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19							Also has input of Huaier Granule
NCT04315896	DB01611		Hydroxychloroquine	Hydroxychloroquine Treatment for Severe COVID-19 Pulmonary Infection (HYDRA Trial)	Not yet recruiting	3	https://clinicaltrials.gov/ct2/show/NCT04315896		COVOC:0040015	NCT:04321421	NCT04321421 clinical trial	Hyperimmune Plasma for Critical Patients With COVID-19 (COV19-PLASMA)							Also has input of Hyperimmune plasma
NCT04291053			Huaier Granule	The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19	Not yet recruiting		https://clinicaltrials.gov/ct2/show/NCT04291053?cond=COVID-19&draw=2&rank=1		COVOC:0040016	NCT:04306497	NCT04306497 clinical trial	Clinical Trial on Regularity of TCM Syndrome and Differentiation Treatment of COVID-19. (CTOROTSADTOC)							Also has input of TCM prescriptions
NCT04321421			Hyperimmune plasma	Hyperimmune Plasma for Critical Patients With COVID-19 (COV19-PLASMA)	Not yet recruiting	Active	https://clinicaltrials.gov/ct2/show/NCT04321421?cond=COVID-19&draw=2&rank=4		COVOC:0040017	NCT:04287686	NCT04287686 clinical trial	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19							Also has input of rhACE2
NCT04306497			TCM prescriptions	Clinical Trial on Regularity of TCM Syndrome and Differentiation Treatment of COVID-19. (CTOROTSADTOC)	Recruiting		https://clinicaltrials.gov/ct2/show/NCT04306497?cond=COVID-19&draw=2&rank=5		COVOC:0040018	NCT:04317092	NCT04317092 clinical trial	Tocilizumab in COVID-19 Pneumonia (TOCIVID-19) (TOCIVID-19)	COVOC:0030029					DB:06273	
NCT04287686			rhACE2	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	Withdrawn	Not Applicable	https://clinicaltrials.gov/ct2/show/NCT04287686?cond=COVID-19&draw=2&rank=6		COVOC:0040019	NCT:04318418	NCT04318418 clinical trial	ACE Inhibitors, Angiotensin II Type-I Receptor Blockers and Severity of COVID-19 (CODIV-ACE)	CHEBI:48432					DB:11842	
NCT04317092	DB06273		Tocilizumab	Tocilizumab in COVID-19 Pneumonia (TOCIVID-19) (TOCIVID-19)	Recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04317092?cond=COVID-19&draw=2&rank=8		COVOC:0040020	NCT:04321993	NCT04321993 clinical trial	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients	CHEBI:31781||CHEBI:45409||COVOC:0030007||COVOC:0030027						Also has input of Hydroxychloroquine sulfate
NCT04318418	DB11842		Angiotensin II	ACE Inhibitors, Angiotensin II Type-I Receptor Blockers and Severity of COVID-19 (CODIV-ACE)	Not yet recruiting		https://clinicaltrials.gov/ct2/show/NCT04318418?cond=COVID-19&draw=3&rank=11		COVOC:0040021	NCT:04304053	NCT04304053 clinical trial	Treatment of COVID-19 Cases and Chemoprophylaxis of Contacts as Prevention (HCQ4COV19)	CHEBI:367163||CHEBI:72291||CHEBI:5801						
NCT04321993			Lopinavir/ritonavir	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients	Not yet recruiting	2	https://clinicaltrials.gov/ct2/show/study/NCT04321993?cond=COVID-19&draw=3&rank=15		COVOC:0040022	NCT:04313023	NCT04313023 clinical trial	The Use PUL-042 Inhalation Solution to Prevent COVID-19 in Adults Exposed to SARS-CoV-2	NCIT:C135091						
NCT04321993			Hydroxychloroquine sulfate	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients	Not yet recruiting		https://clinicaltrials.gov/ct2/show/study/NCT04321993?cond=COVID-19&draw=3&rank=15		COVOC:0040023	NCT:04323631	NCT04323631 clinical trial	Hydroxychloroquine for the Treatment of Patients With Mild to Moderate COVID-19 to Prevent Progression to Severe Infection or Death	CHEBI:5801					DB:01611	
NCT04321993			Baricitinib	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients	Not yet recruiting		https://clinicaltrials.gov/ct2/show/study/NCT04321993?cond=COVID-19&draw=3&rank=15		COVOC:0040024	NCT:04312997	NCT04312997 clinical trial	The Use of PUL-042 Inhalation Solution to Reduce the Severity of COVID-19 in Adults Positive for SARS-CoV-2 Infection	NCIT:C135091						
NCT04321993	DB11767		Sarilumab	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients	Not yet recruiting		https://clinicaltrials.gov/ct2/show/study/NCT04321993?cond=COVID-19&draw=3&rank=15		COVOC:0040025	NCT:04315987	NCT04315987 clinical trial	NestCell® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia (HOPE)	COVOC:0030023						
NCT04304053			Darunavir/Cobicistat/Hydroxychloroquine	Treatment of COVID-19 Cases and Chemoprophylaxis of Contacts as Prevention (HCQ4COV19)	Recruiting	3	https://clinicaltrials.gov/ct2/show/NCT04304053?cond=COVID-19&draw=3&rank=13		COVOC:0040026	NCT:04273529	NCT04273529 clinical trial	The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia	CHEBI:9513						
NCT04313023			PUL-042 Inhalation Solution	The Use PUL-042 Inhalation Solution to Prevent COVID-19 in Adults Exposed to SARS-CoV-2	Not yet recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04313023?cond=COVID-19&draw=3&rank=16		COVOC:0040027	NCT:04273581	NCT04273581 clinical trial	The Efficacy and Safety of Thalidomide Combined With Low-dose Hormones in the Treatment of Severe COVID-19	CHEBI:9513						
NCT04323631	DB01611		Hydroxychloroquine	Hydroxychloroquine for the Treatment of Patients With Mild to Moderate COVID-19 to Prevent Progression to Severe Infection or Death	Not yet recruiting	Early Phase 1	https://clinicaltrials.gov/ct2/show/NCT04323631?cond=COVID-19&draw=3&rank=18		COVOC:0040028	NCT:04280588	NCT04280588 clinical trial	Fingolimod in COVID-19	CHEBI:63115						
NCT04312997			PUL-042 Inhalation Solution	The Use of PUL-042 Inhalation Solution to Reduce the Severity of COVID-19 in Adults Positive for SARS-CoV-2 Infection	Not yet recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04312997?cond=COVID-19&draw=3&rank=20		COVOC:0040029	NCT:04293692	NCT04293692 clinical trial	Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus	COVOC:0030031						
NCT04315987			NestCell	NestCell® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia (HOPE)	Not yet recruiting	1	https://clinicaltrials.gov/ct2/show/NCT04315987?cond=COVID-19&draw=4&rank=22		COVOC:0040030	NCT:04317040	NCT04317040 clinical trial	CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment (SAC-COVID)	COVOC:0030011						
NCT04273529			Thalidomide	The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia	Not yet recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04273529?cond=covid-19&draw=4&rank=30		COVOC:0040031	NCT:04288102	NCT04288102 clinical trial	Treatment With Mesenchymal Stem Cells for Severe Corona Virus Disease 2019(COVID-19)	COVOC:0030022						
NCT04273581			Thalidomide	The Efficacy and Safety of Thalidomide Combined With Low-dose Hormones in the Treatment of Severe COVID-19	Not yet recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04273581?cond=covid-19&draw=5&rank=31		COVOC:0040032	NCT:04286503	NCT04286503 clinical trial	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	CHEBI:134730||CHEBI:31781||CHEBI:45409						Also has input of Carrimycin
NCT04280588			Fingolimod	Fingolimod in COVID-19	Recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04280588?cond=covid-19&draw=5&rank=35												
NCT04293692			UC-MSCs	Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus	Withdrawn	Not Applicable	https://clinicaltrials.gov/ct2/show/NCT04293692?cond=covid-19&draw=5&rank=37												
NCT04317040			CD24Fc	CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment (SAC-COVID)	Not yet recruiting	3	https://clinicaltrials.gov/ct2/show/NCT04317040?cond=covid-19&draw=5&rank=38												
NCT04288102			MSCs	Treatment With Mesenchymal Stem Cells for Severe Corona Virus Disease 2019(COVID-19)	Recruiting	1	https://clinicaltrials.gov/ct2/show/NCT04288102?cond=covid-19&draw=5&rank=39												
NCT04286503			Carrimycin	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
NCT04286503	DB13609		Arbidol	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
NCT04286503			Chloroquine phosphate	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
NCT04286503			Lopinavir/Ritonavir	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
... to be continued via clinicaltrials.gov ...																			